codigo_ibge,municipio,uf,dia,mes,data_referencia,criterio,confianca,campo_origem,frase_origem,fonte_historico,status_consulta
1100015,Alta Floresta D'Oeste,RO,20,5,20/05/1986,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município e distrito com a denominação Alta Floresta D’Oeste, pela Lei Estadual n.º 104, de 20-05-1986, desmembrado município de Costa Marques.",Confederação Nacional de Municípios http://www.cnm.org.br,ok
1100023,Ariquemes,RO,11,10,11/10/1977,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Ariquemes, pela Lei Federal n.º 6.448, de 11-10-1977, desmembrado do município de Porto Velho, Rondônia e sede no antigo distrito de Ariquemes.",Ariquemes (RO). Prefeitura. 2017. Disponível em: http://ariquemes.ro.gov.br. Acesso em: maio 2017.,ok
1100031,Cabixi,RO,6,7,06/07/1988,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município e distrito com a denominação de Cabixi, pela Lei Estadual n.º 208, de 06-07-1988, desmembrado do município de Colorado do Oeste.",Confederação Nacional de Municípios http://www.cnm.org.br,ok
1100049,Cacoal,RO,11,10,11/10/1977,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município e distrito com a denominação de Cacoal, pela Lei Federal n.º 6.448, de 11-10-1977, desmembrado do município de Porto Velho.",Cacoal (RO). Prefeitura. [2017].,ok
1100056,Cerejeiras,RO,5,8,05/08/1983,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município e distrito com a denominação de Cerejeiras, pela Lei Estadual n.º 71, 05-08-1983, alterado em seus limites pelo Decreto Estadual n.º 1.396, de 10-08-1983, desmembrado do município de Colorado do Oeste.",Confederação Nacional de Municípios http://www.cnm.org.br,ok
1100064,Colorado do Oeste,RO,16,6,16/06/1981,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município e distrito com a denominação de Colorado do Oeste, pela Lei Federal n.º 6.921, de 16-06-1981, desmembrado do município de Vilhena.",Confederação Nacional de Municípios http://www.cnm.org.br,ok
1100072,Corumbiara,RO,13,2,13/02/1992,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município e distrito com a denominação de Corumbiara, pela Lei Estadual n.º 377, de 13-02-1992, desmembrado dos municípios de Colorado do Oeste e Vilhena.",Prefeitura Municipal http://www.corumbiara.ro.gov.br,ok
1100080,Costa Marques,RO,16,6,16/06/1981,elevacao_municipio,media,formacao_administrativa,"Elevado á categoria de município com a denominação de Costa Marques, pela Lei Federal n.º 6.921, de 16-06-1981, desmembrado do município de Guajará-Mirim.",Confederação Nacional de Municípios http://www.cnm.org.br,ok
1100098,Espigão D'Oeste,RO,16,6,16/06/1981,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Espigão D’Oeste, pela Lei Federal n.º 6.921, de 16-06-1981, desmembrado de Pimenta Bueno.",Prefeitura Municipal http://www.prefeituraespigaodooeste.ro.gov.br,ok
1100106,Guajará-Mirim,RO,12,7,12/07/1928,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Guajará Mirim, pela Lei do Estado de Mato Grosso n.º 991, de 12-07-1928, é desmembrado do município de Santo Antônio do Rio da Madeira.",GUAJARÁ-MIRIM (RO). Prefeitura. Disponível em: www.guajaramirim.ro.gov.br. Acesso em: 04 mar. 2020.,ok
1100114,Jaru,RO,16,6,16/06/1981,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Jaru, pela Lei 6.921, de 16-06-1981, desmembrado do município de Ariquemes.",Confederação Nacional de Municípios. Disponível em: http://www.cnm.org.br. Acesso em: jun. 2011.,ok
